id,language,category,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,meaning,explanation,created_at
MATH_EN_0001,English,Mathematics,Mathematics Sample,Medium,What is the value of 15% of 200?,30,20,25,35,A,30,Percent means per hundred: 15 per 100 on 200 is 15 * 2 = 30.,15/100 * 200 = 30.,2026-09-14 08:47:50
MATH_EN_0002,English,Mathematics,Mathematics Sample,Medium,"If a triangle has sides 3 cm, 4 cm, and 5 cm, what type of triangle is it?",Right-angled,Equilateral,Isosceles,Obtuse,A,Right-angled,The sides satisfy Pythagorean theorem: a² + b² = c².,By Pythagorean theorem: 3² + 4² = 9 + 16 = 25 = 5².,2026-09-14 08:47:50
MATH_EN_0003,English,Mathematics,Mathematics Sample,Medium,What is the sum of the angles of a quadrilateral?,360°,180°,270°,540°,A,360°,"Any 4-sided polygon can be split into two triangles, each having 180° (2 * 180° = 360°).",The sum of interior angles of any four-sided polygon is 360 degrees.,2026-09-14 08:47:50
MATH_EN_0004,English,Mathematics,Mathematics Sample,Medium,What is the solution to the equation 3x - 7 = 14?,7,5,6,8,A,7,"Adding 7 gives 3x = 21, then dividing by 3 yields x = 7.","3x = 21, so x = 7.",2026-09-14 08:47:50
MATH_EN_0005,English,Mathematics,Mathematics Sample,Medium,"What is the median of the dataset [3, 7, 9, 12, 15]?",9,7,12,9.2,A,9,The median is the exact middle element when sorted in ascending order.,"In an ordered dataset of 5 values, the 3rd value (9) is the median.",2026-09-14 08:47:50
MATH_EN_0006,English,Mathematics,"Number Systems, Primes, Divisibility & Fractions",Easy,Which of the following is a prime number?,15,23,28,33,B,23,"23 is only divisible by 1 and itself, making it a prime number.",A prime number has exactly two distinct positive divisors: 1 and itself. 23 meets this criterion.,2026-09-14 11:01:38
MATH_EN_0007,English,Mathematics,"Number Systems, Primes, Divisibility & Fractions",Easy,What is the smallest prime number?,0,1,2,3,C,2,2 is the only even prime number.,"2 is the smallest prime number and is the only even prime number, as all other even numbers are divisible by 2.",2026-09-14 11:01:38
MATH_EN_0008,English,Mathematics,"Number Systems, Primes, Divisibility & Fractions",Easy,Which of the following numbers is divisible by 3?,14,17,21,25,C,21,21 is divisible by 3 because the sum of its digits (2 + 1 = 3) is divisible by 3.,"A number is divisible by 3 if the sum of its digits is divisible by 3. Here, 21 (2 + 1 = 3) is divisible by 3.",2026-09-14 11:01:38
MATH_EN_0009,English,Mathematics,"Number Systems, Primes, Divisibility & Fractions",Easy,What is the reciprocal of 4/5?,1/4,1/5,5/4,4/5,C,5/4,The reciprocal of a fraction is obtained by swapping its numerator and denominator.,"To find the reciprocal of 4/5, swap the numerator and the denominator, resulting in 5/4.",2026-09-14 11:01:38
MATH_EN_0010,English,Mathematics,"Number Systems, Primes, Divisibility & Fractions",Easy,Which of the following is equivalent to the fraction 12/18?,1/2,2/3,3/4,4/5,B,2/3,2/3 is the simplest form of the fraction 12/18 after reducing it.,Both 12 and 18 are divisible by 6. Dividing both the numerator and the denominator by 6 simplifies 12/18 to 2/3.,2026-09-14 11:01:38
