id,language,category,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,meaning,explanation,created_at
GK_EN_0001,English,General Knowledge,General Knowledge Sample,Medium,Who was the first woman Prime Minister of India?,Indira Gandhi,Sarojini Naidu,Pratibha Patil,Sushma Swaraj,A,Indira Gandhi,Indira Gandhi was elected leader of the Indian National Congress in 1966.,Indira Gandhi served as Prime Minister from 1966 to 1977 and 1980 to 1984.,2026-09-14 08:47:50
GK_EN_0002,English,General Knowledge,General Knowledge Sample,Medium,Which planet in our solar system is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,A,Mars,Mars has reddish surface soil rich in iron oxide (rust).,Mars appears reddish due to iron oxide on its surface.,2026-09-14 08:47:50
GK_EN_0003,English,General Knowledge,General Knowledge Sample,Medium,Where is the headquarters of the United Nations located?,New York City,Geneva,Paris,London,A,New York City,"The UN headquarters is an international territory located in Manhattan, NYC.",The UN headquarters was completed in 1952 in New York City.,2026-09-14 08:47:50
GK_EN_0004,English,General Knowledge,General Knowledge Sample,Medium,Who wrote the national anthem of India 'Jana Gana Mana'?,Rabindranath Tagore,Bankim Chandra Chattopadhyay,Sarojini Naidu,Kavi Pradeep,A,Rabindranath Tagore,Tagore composed 'Bharoto Bhagyo Bidhata' which became the national anthem.,It was originally composed in Bengali by Rabindranath Tagore.,2026-09-14 08:47:50
GK_EN_0005,English,General Knowledge,General Knowledge Sample,Medium,Which is the longest river in India?,Ganga,Yamuna,Godavari,Brahmaputra,A,Ganga,"Ganga flows 2,525 km completely through India and Bangladesh.","The Ganges has a total length of 2,525 km.",2026-09-14 08:47:50
GK_EN_0006,English,General Knowledge,Ancient & Medieval History,Easy,Which ancient civilization is known for constructing the Great Pyramid of Giza?,Indus Valley Civilization,Ancient Egypt,Maya Civilization,Mesopotamian Civilization,B,Ancient Egypt,The Great Pyramid of Giza is one of the Seven Wonders of the Ancient World and is a testament to the architectural prowess of the Ancient Egyptians.,"The Great Pyramid of Giza, built as a tomb for the Pharaoh Khufu, is the oldest and largest of the three pyramids in the Giza pyramid complex and is a symbol of ancient Egyptian engineering and cultural achievements.",2026-09-14 11:01:15
GK_EN_0007,English,General Knowledge,Ancient & Medieval History,Easy,"Who is known as the first Roman Emperor, marking the transition from Roman Republic to Roman Empire?",Julius Caesar,Nero,Augustus,Tiberius,C,Augustus,"Augustus is recognized as the first Roman Emperor, who took power after the fall of the Roman Republic and initiated the Pax Romana, a period of relative peace in the Empire.","Augustus, also known as Octavian, defeated his rivals and took the title of Princeps, which meant 'first citizen' or 'first among equals', effectively making him the first Roman Emperor and ushering in a new era of Roman history.",2026-09-14 11:01:15
GK_EN_0008,English,General Knowledge,Ancient & Medieval History,Easy,The Battle of Hastings in 1066 is associated with which of the following historical figures?,William the Conqueror,Richard the Lionheart,Henry VIII,Oliver Cromwell,A,William the Conqueror,"William the Conqueror led the Norman invasion of England and defeated King Harold II in the Battle of Hastings, leading to the Norman conquest of England.",The Battle of Hastings was a decisive engagement in the Norman conquest of England. William the Conqueror's victory over King Harold II secured his claim to the English throne and marked the beginning of Norman rule in England.,2026-09-14 11:01:15
GK_EN_0009,English,General Knowledge,Ancient & Medieval History,Easy,Who is credited with the invention of the first mechanical clock in the Middle Ages?,Leonardo da Vinci,Galileo Galilei,Abu Rayhan al-Biruni,Isaac Newton,C,Abu Rayhan al-Biruni,"Abu Rayhan al-Biruni, a Persian polymath, is recognized for his contributions to various fields including the invention of the first mechanical clock in the 10th century.","Al-Biruni developed a mechanical clock that used water to keep time, which was a significant advancement in timekeeping technology during the medieval period, allowing for more accurate measurements and scheduling of daily activities.",2026-09-14 11:01:15
GK_EN_0010,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following was a key figure in the Byzantine Empire during the 6th century?,Constantine the Great,Justinian I,Theodore I Laskaris,Alexios I Komnenos,B,Justinian I,"Justinian I, also known as Justinian the Great, was a Byzantine emperor who is renowned for his extensive legal reforms and the construction of the Hagia Sophia.","Justinian I is known for his codification of Roman law and his efforts to restore the Roman Empire, including his military campaigns and the construction of the Hagia Sophia, a masterpiece of Byzantine architecture, which still stands today as a symbol of the empire's cultural and architectural achievements.",2026-09-14 11:01:15
GK_EN_0011,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following ancient civilizations is known for the construction of the Hanging Gardens of Babylon?,Egypt,Babylon,Greece,Rome,B,Babylon,The Hanging Gardens of Babylon are one of the Seven Wonders of the Ancient World.,"The Hanging Gardens of Babylon are believed to have been constructed by King Nebuchadnezzar II around 600 BC to please his wife who missed the greenery of her homeland. They are considered one of the Seven Wonders of the Ancient World, though their existence is debated by some historians.",2026-09-14 11:08:18
GK_EN_0012,English,General Knowledge,Ancient & Medieval History,Easy,Who is credited with the construction of the Colosseum in Rome?,Julius Caesar,Augustus,Nero,Vespasian,D,Vespasian,"Vespasian initiated the construction of the Colosseum, which was completed by his son Titus in 80 AD.","The Colosseum, or Flavian Amphitheatre, was built between 70-80 AD and is one of the most iconic structures of ancient Rome, serving as a venue for gladiatorial contests and public spectacles.",2026-09-14 11:08:18
GK_EN_0013,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following is known as the last Roman Emperor before the fall of the Western Roman Empire?,Constantine,Theodosius,Maxentius,Romulus Augustus,D,Romulus Augustus,"Romulus Augustus was the last emperor of the Western Roman Empire, who was deposed in 476 AD.","Romulus Augustus was the last emperor of the Western Roman Empire, reigning until 476 AD when he was deposed by the Germanic chieftain Odoacer, marking the end of Roman rule in the West.",2026-09-14 11:08:18
GK_EN_0014,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following historical figures is known for his philosophical dialogues and has influenced Western philosophy profoundly?,Plato,Socrates,Aristotle,Homer,A,Plato,Plato's dialogues are central to the study of Western philosophy and ethics.,"Plato, a student of Socrates, wrote numerous dialogues that explore philosophical concepts and are fundamental to Western philosophical thought, especially in areas like ethics, metaphysics, and epistemology.",2026-09-14 11:08:18
GK_EN_0015,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following is known as the first king of the united Kingdom of Israel?,Solomon,David,Abraham,Jacob,B,David,David is known for his victory over Goliath and his role in establishing a unified kingdom.,"King David is a central figure in the Old Testament, renowned for his military victories, his defeat of Goliath, and his establishment of a united kingdom. He is also known for his relationship with God and for authoring many Psalms.",2026-09-14 11:08:18
GK_EN_0016,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following empires is known for its vast size and cultural diversity during the 13th century?,Byzantine,Mongol,Persian,Armenian,B,Mongol,The Mongol Empire was the largest contiguous land empire in history.,"The Mongol Empire, founded by Genghis Khan in the 13th century, expanded rapidly and became the largest contiguous land empire in history, stretching from Eastern Europe to the Sea of Japan.",2026-09-14 11:08:18
GK_EN_0017,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following rulers is known for converting to Christianity and establishing the Byzantine Empire?,Theodosius,Justinian,Constantine,Nero,C,Constantine,Constantine I played a crucial role in the adoption of Christianity as the state religion of the Roman Empire.,"Constantine I is known for his Edict of Milan in 313 AD, which granted religious tolerance in the Roman Empire, and for his conversion to Christianity, which played a significant role in the spread and eventual adoption of Christianity as the state religion of the Roman Empire.",2026-09-14 11:08:18
GK_EN_0018,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following is known as the first emperor of the Holy Roman Empire?,Charlemagne,Otto I,Louis I,Henry I,A,Charlemagne,Charlemagne was crowned as the first emperor of the Holy Roman Empire in 800 AD by Pope Leo III.,"Charlemagne, also known as Charles the Great, was crowned the first emperor of the Holy Roman Empire by Pope Leo III on Christmas Day, 800 AD, marking the beginning of a new era of Christian rule in Europe.",2026-09-14 11:08:18
GK_EN_0019,English,General Knowledge,Ancient & Medieval History,Easy,Which of the following is known for his conquest of the Iberian Peninsula (modern-day Spain and Portugal) and the establishment of Moorish rule?,Charlemagne,Rome,Vikings,Muslims,D,Muslims,The Muslim conquest of the Iberian Peninsula began in the 8th century and lasted until the late 15th century with the fall of Granada.,"The Muslim conquest of the Iberian Peninsula, also known as the Islamic Conquest of the Iberian Peninsula, began in 711 AD when Muslim forces from North Africa crossed the Strait of Gibraltar and began their campaign to take over the Iberian Peninsula, leading to the establishment of the Emirate of Córdoba.",2026-09-14 11:08:18
GK_EN_0020,English,General Knowledge,Ancient & Medieval History,Easy,"Which of the following is known for his famous works 'The Divine Comedy' and 'The Inferno', 'Purgatorio', and 'Paradiso'?",Dante Alighieri,Boccaccio,Chaucer,Shakespeare,A,Dante Alighieri,Dante Alighieri is a key figure in the history of Italian literature and poetry.,"Dante Alighieri is renowned for his epic poem 'The Divine Comedy', which is considered one of the greatest works of world literature and a cornerstone of Italian cultural heritage. The poem consists of three parts: 'Inferno', 'Purgatorio', and 'Paradiso'.",2026-09-14 11:08:18
GK_EN_0021,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,Who led the Quit India Movement in 1942?,Subhas Chandra Bose,Jawaharlal Nehru,Mahatma Gandhi,Sardar Vallabhbhai Patel,C,Mahatma Gandhi,Mahatma Gandhi was the leader who called for an immediate end to British rule in India and initiated the Quit India Movement.,"Mahatma Gandhi was a key figure in the Indian independence movement, and his call for immediate independence in 1942 was the primary catalyst for the Quit India Movement.",2026-09-14 11:08:45
GK_EN_0022,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,"Which event is considered a significant turning point in the Indian freedom struggle, marking the beginning of non-violent civil disobedience?",The partition of Bengal in 1905,The Jallianwala Bagh Massacre in 1919,The Chauri Chaura incident in 1922,The Salt March led by Gandhi in 1930,B,The Jallianwala Bagh Massacre in 1919,The Jallianwala Bagh Massacre led to widespread outrage and inspired Gandhi to launch the non-violent civil disobedience movement.,"The Jallianwala Bagh Massacre, where British troops fired on unarmed civilians, galvanized public opinion and led Gandhi to propose the non-violent campaign against British rule, known as the Non-Cooperation Movement.",2026-09-14 11:08:45
