id,language,category,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,meaning,explanation,created_at
GK_HI_0001,Hindi,General Knowledge,General Knowledge Sample,Medium,भारत के प्रथम राष्ट्रपति कौन थे?,डॉ. राजेन्द्र प्रसाद,डॉ. सर्वपल्ली राधाकृष्णन,पंडित जवाहरलाल नेहरू,सरदार वल्लभभाई पटेल,A,डॉ. राजेन्द्र प्रसाद,डॉ. राजेन्द्र प्रसाद संविधान सभा के अध्यक्ष थे और भारत के प्रथम राष्ट्रपति चुने गए।,डॉ. राजेन्द्र प्रसाद 1950 से 1962 तक भारत के प्रथम राष्ट्रपति रहे।,2026-09-14 08:47:50
GK_HI_0002,Hindi,General Knowledge,General Knowledge Sample,Medium,भारतीय संविधान के जनक के रूप में किसे जाना जाता है?,डॉ. बी.आर. अम्बेडकर,महात्मा गांधी,जवाहरलाल नेहरू,डॉ. राजेन्द्र प्रसाद,A,डॉ. बी.आर. अम्बेडकर,संविधान निर्माण की प्रारूप समिति के अध्यक्ष होने के कारण उन्हें संविधान का जनक कहा जाता है।,डॉ. अम्बेडकर संविधान की प्रारूप समिति (ड्राफ्टिंग कमेटी) के अध्यक्ष थे।,2026-09-14 08:47:50
GK_HI_0003,Hindi,General Knowledge,General Knowledge Sample,Medium,भारत का राष्ट्रीय खेल आधिकारिक तौर पर कौन सा माना जाता है?,हॉकी,क्रिकेट,कबड्डी,फुटबॉल,A,हॉकी,हॉकी में भारत की ऐतिहासिक उपलब्धियों के कारण इसे राष्ट्रीय पहचान प्राप्त है।,भारत ने ओलंपिक में हॉकी में 8 स्वर्ण पदक जीते हैं।,2026-09-14 08:47:50
GK_HI_0004,Hindi,General Knowledge,General Knowledge Sample,Medium,कर्क रेखा भारत के कितने राज्यों से होकर गुजरती है?,8,7,9,6,A,8,23.5° उत्तरी अक्षांश रेखा भारत के मध्य के 8 राज्यों से होकर गुजरती है।,"कर्क रेखा गुजरात, राजस्थान, म.प्र., छत्तीसगढ़, झारखंड, प. बंगाल, त्रिपुरा और मिजोरम से गुजरती है।",2026-09-14 08:47:50
GK_HI_0005,Hindi,General Knowledge,General Knowledge Sample,Medium,भारत की प्रथम महिला आईपीएस अधिकारी कौन हैं?,किरण बेदी,अन्ना राजम मल्होत्रा,सरोजिनी नायडू,बछेंद्री पाल,A,किरण बेदी,किरण बेदी ने 1972 में संघ लोक सेवा आयोग पास कर पहली महिला पुलिस सेवा अधिकारी बनकर इतिहास रचा।,किरण बेदी 1972 में भारत की पहली महिला आईपीएस अधिकारी बनीं।,2026-09-14 08:47:50
GK_HI_0006,Hindi,General Knowledge,प्राचीन एवं मध्यकालीन भारतीय इतिहास,Medium,वर्ष 1857 में भारत की दर्रा या बादशाही युद्ध किसे कहा जाता है?,महारानी विजया बाई का युद्ध,ब्रिटिश विद्रोह,राजतंत्र युद्ध,महात्मा गांधी का युद्ध,B,ब्रिटिश विद्रोह,1857 का युद्ध ब्रिटिश सरकार के विरुद्ध भारतीय सैनिकों और राजाओं का विद्रोह था।,1857 में भारत में ब्रिटिश सरकार के विरुद्ध विद्रोह हुआ जिसे दर्रा या बादशाही युद्ध के नाम से जाना जाता है।,2026-09-14 11:02:01
GK_HI_0007,Hindi,General Knowledge,प्राचीन एवं मध्यकालीन भारतीय इतिहास,Medium,किस राजा ने भारत की पहली गोत्र परम्परा शुरू की?,राजा अर्जुन,कौरव राजा धर्मधाम,राजा शिशुराज,राजा विश्वासराज,C,राजा शिशुराज,शिशुराज ने गोत्र परम्परा को भारतीय संस्कृति में एक महत्वपूर्ण भाग बनाया।,राजा शिशुराज ने गोत्र परम्परा को भारत में शुरू किया जिसने वंशजता और संस्कृति को सुरक्षित रखने में महत्वपूर्ण योगदान दिया।,2026-09-14 11:02:01
GK_HI_0008,Hindi,General Knowledge,प्राचीन एवं मध्यकालीन भारतीय इतिहास,Medium,भारतीय संविधान किस वर्ष में गठित हुआ?,1946,1947,1948,1949,D,1949,1949 में भारतीय संविधान संस्करण जैसे नाम से राष्ट्रीय संविधान के रूप में प्रकाशित हुआ।,1949 में भारतीय संविधान न्यायपालिका के द्वारा अध्यायों को संपादित किया गया और इस प्रकार अंतिम रूप में राष्ट्रीय संविधान के रूप में प्रकाशित हुआ।,2026-09-14 11:02:01
GK_HI_0009,Hindi,General Knowledge,प्राचीन एवं मध्यकालीन भारतीय इतिहास,Medium,प्राचीन काल में भारतीय राज्यों का किस प्रशासन युग के दौरान विकसित हुआ?,कुम्भ काल,हिंदुवाद काल,बौद्ध काल,जैनवाद काल,A,कुम्भ काल,कुम्भ काल में राज्यों के प्रशासन और व्यवस्था विकसित हुईं थीं।,कुम्भ काल विक्रमादित्य के शासन के दौरान विकसित हुआ जब राज्यों के प्रशासन और राजनीति का प्रणाली विकसित हुई थी।,2026-09-14 11:02:01
GK_HI_0010,Hindi,General Knowledge,प्राचीन एवं मध्यकालीन भारतीय इतिहास,Medium,भारत में जाम्मा और फार्स जैसे जातियाँ किसके बदले आयीं?,हिंदुत्व,जैनवाद,बौद्धवाद,सुन्निवाद,C,बौद्धवाद,बौद्धवाद का भारतीय स्थान हाथ छोड़कर जैसे जातियाँ जाम्मा और फार्स आयीं।,बौद्धवाद की विद्रोहों के कारण जैसे जातियाँ जाम्मा और फार्स आयीं और इन्होंने अपने आप में संपन्न होने के बाद इस देश में रहने लगीं।,2026-09-14 11:02:01
