id,language,category,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,meaning,explanation,created_at
SCI_EN_0001,English,Science,Science Sample,Medium,What is the powerhouse of the cell?,Mitochondria,Ribosome,Nucleus,Endoplasmic Reticulum,A,Mitochondria,Mitochondria convert nutrients into adenosine triphosphate (ATP) energy.,Mitochondria generate most of the chemical energy needed to power the cell's biochemical reactions.,2026-09-14 08:47:50
SCI_EN_0002,English,Science,Science Sample,Medium,What is the chemical symbol for Gold?,Au,Ag,Fe,Cu,A,Au,"Au stands for Aurum, meaning glowing dawn in Latin.",Au comes from the Latin word 'Aurum'.,2026-09-14 08:47:50
SCI_EN_0003,English,Science,Science Sample,Medium,What is the acceleration due to gravity on Earth's surface?,9.8 m/s²,8.9 m/s²,10.5 m/s²,7.2 m/s²,A,9.8 m/s²,Standard gravitational acceleration g represents downward pull at sea level.,Standard gravity on Earth is approximately 9.80665 m/s².,2026-09-14 08:47:50
SCI_EN_0004,English,Science,Science Sample,Medium,Which gas is most abundant in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,A,Nitrogen,Nitrogen comprises nearly four-fifths of dry air by volume.,Nitrogen constitutes about 78% of Earth's atmosphere.,2026-09-14 08:47:50
SCI_EN_0005,English,Science,Science Sample,Medium,What is the pH value of pure water at 25°C?,7,0,14,5,A,7,"A neutral solution has equal concentrations of H+ and OH- ions, giving pH 7.",A pH of 7 represents neutral water at standard temperature.,2026-09-14 08:47:50
SCI_EN_0006,English,Science,"Classical Mechanics, Forces & Laws of Motion",Easy,What is the SI unit of force?,Newton,Joule,Kilogram,Watt,A,Newton,"Force is measured in Newtons, named after Sir Isaac Newton.",The Newton (N) is defined as the force required to accelerate a mass of one kilogram at a rate of one meter per second squared.,2026-09-14 11:01:27
SCI_EN_0007,English,Science,"Classical Mechanics, Forces & Laws of Motion",Easy,Which of the following is NOT a law of motion?,Newton's First Law,Newton's Second Law,Newton's Third Law,Newton's Fourth Law,D,Newton's Fourth Law,There is no such thing as Newton's Fourth Law.,"Newton proposed three laws of motion, but there are no documented historical references to a fourth law by him.",2026-09-14 11:01:27
SCI_EN_0008,English,Science,"Classical Mechanics, Forces & Laws of Motion",Easy,What is the effect of doubling the mass of an object moving at a constant velocity?,Doubles the velocity,Halves the velocity,Does not change the velocity,Doubles the force,C,Does not change the velocity,Velocity is independent of the mass of the object when no external forces are acting.,"According to Newton's First Law, an object in motion will remain in motion at a constant velocity unless acted upon by an external force. Doubling the mass does not affect the velocity if the net force remains the same.",2026-09-14 11:01:27
SCI_EN_0009,English,Science,"Classical Mechanics, Forces & Laws of Motion",Easy,Which of the following is an example of balanced forces?,A book falling off a shelf,A car accelerating on a straight road,A ball rolling down a hill,A book resting on a table,D,A book resting on a table,"Balanced forces result in no net force acting on an object, causing it to remain at rest or move at a constant velocity.","When a book is resting on a table, the force of gravity pulling it down is balanced by the normal force from the table pushing it up, resulting in no net force and thus no acceleration.",2026-09-14 11:01:27
SCI_EN_0010,English,Science,"Classical Mechanics, Forces & Laws of Motion",Easy,"What happens to the acceleration of an object when the net force acting on it is doubled, assuming its mass remains constant?",It doubles,It halves,It remains the same,It triples,A,It doubles,"Doubling the net force on an object, with its mass unchanged, will double its acceleration.","According to Newton's Second Law, the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. Thus, doubling the force will double the acceleration if the mass remains constant.",2026-09-14 11:01:27
SCI_EN_0011,English,Science,"Classical Mechanics, Forces & Laws of Motion",Easy,"If a book is placed on a table, which force balances the gravitational force acting on the book?",The gravitational force of the Earth,The normal force from the table,The frictional force from the table,The air resistance force,B,The normal force from the table,"The normal force is equal and opposite to the gravitational force, thus balancing it.","The normal force is the reaction force exerted by the table on the book, perpendicular to the surface, which exactly balances the gravitational force pulling the book downwards.",2026-09-14 11:49:22
SCI_EN_0012,English,Science,"Classical Mechanics, Forces & Laws of Motion",Easy,What is the acceleration of an object if the net force acting on it is zero?,It accelerates at a constant rate,It moves with constant velocity,It decelerates,It stops,B,It moves with constant velocity,"According to Newton's First Law, if no net force acts on an object, it will move with constant velocity.","Newton's First Law states that an object in motion will stay in motion with the same velocity unless acted upon by an external force. Thus, if there is no net force, the object will maintain its velocity.",2026-09-14 11:49:22
