id,language,category,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,meaning,explanation,created_at
SCI_HI_0001,Hindi,Science,Science Sample,Medium,पौधे प्रकाश संश्लेषण के दौरान कौन सी गैस अवशोषित करते हैं?,कार्बन डाइऑक्साइड,ऑक्सीजन,नाइट्रोजन,हाइड्रोजन,A,कार्बन डाइऑक्साइड,पौधे पर्णहरित और सूर्य के प्रकाश में CO2 ग्रहण करके भोजन व ऑक्सीजन बनाते हैं।,पौधे सूर्य के प्रकाश और कार्बन डाइऑक्साइड (CO2) की मदद से ग्लूकोज बनाते हैं।,2026-09-14 08:47:50
SCI_HI_0002,Hindi,Science,Science Sample,Medium,मानव शरीर की सबसे बड़ी ग्रंथि कौन सी है?,यकृत (लिवर),थायरॉयड,अग्न्याशय,पीयूष ग्रंथि,A,यकृत (लिवर),यकृत शरीर के चयापचय और पित्त रस उत्पादन का मुख्य अंग है।,यकृत मानव शरीर की सबसे बड़ी और भारी आंतरिक ग्रंथि है।,2026-09-14 08:47:50
SCI_HI_0003,Hindi,Science,Science Sample,Medium,जल का रासायनिक सूत्र क्या है?,H2O,CO2,NaCl,O2,A,H2O,जल के प्रत्येक अणु में दो हाइड्रोजन और एक ऑक्सीजन परमाणु बंधे होते हैं।,जल दो हाइड्रोजन और एक ऑक्सीजन के परमाणु से मिलकर बनता है।,2026-09-14 08:47:50
SCI_HI_0004,Hindi,Science,Science Sample,Medium,ध्वनि की गति सर्वाधिक किस माध्यम में होती है?,ठोस,द्रव,गैस,निर्वात,A,ठोस,ठोस माध्यम में अणुओं का घनत्व व प्रत्यास्थता अधिक होने से ध्वनि तीव्र गति से संचरित होती है।,ठोस में कण पास-पास होने के कारण ध्वनि की चाल सर्वाधिक होती है; निर्वात में ध्वनि गमन नहीं कर सकती।,2026-09-14 08:47:50
SCI_HI_0005,Hindi,Science,Science Sample,Medium,विद्युत बल्ब का फिलामेंट किस धातु का बना होता है?,टंगस्टन,तांबा,लोहा,नाइक्रोम,A,टंगस्टन,टंगस्टन का गलनांक बहुत उच्च होता है जिससे यह गर्म होकर बिना पिघले प्रकाश देता है।,टंगस्टन का गलनांक बहुत उच्च (लगभग 3422°C) होता है।,2026-09-14 08:47:50
SCI_HI_0006,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Easy,किस नियम के अनुसार बल प्रतिबल का उत्पन्न करता है?,न्यूटन का दूसरा नियम,न्यूटन का तीसरा नियम,न्यूटन का पहला नियम,कार्य-ऊर्जा नियम,A,न्यूटन का दूसरा नियम,बल प्रतिबल की प्रणाली न्यूटन का दूसरा नियम द्वारा बताई जाती है।,न्यूटन का दूसरा नियम कहता है कि बल दूसरे वस्तु का प्रतिबल उत्पन्न करता है जो उसके विरुद्ध कार्य करता है।,2026-09-14 11:02:23
SCI_HI_0007,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Easy,किस वस्तु का कार्य बराबर ऊर्जा का अनुक्रमण करता है?,चालक वस्तु,स्थैतिक वस्तु,क्षुव्यात स्थित वस्तु,परिवर्तनशील वस्तु,A,चालक वस्तु,चालक वस्तु का कार्य बराबर ऊर्जा का अनुक्रमण करता है।,चालक वस्तु का कार्य उस वस्तु का उपयोग होने पर उसकी ऊर्जा की मात्रा को निर्धारित करता है।,2026-09-14 11:02:23
SCI_HI_0008,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Easy,किस दृश्य काल के लिए अधिक प्रकाश उत्सर्जित होता है?,गहरे रंग का दृश्य,सफेद रंग का दृश्य,काला रंग का दृश्य,पीला रंग का दृश्य,B,सफेद रंग का दृश्य,सफेद रंग का दृश्य सब रंगों का प्रकाश उत्सर्जित करता है।,सफेद रंग का दृश्य सब रंगों को अनुप्रासित करता है इसलिए यह अधिक प्रकाश उत्सर्जित करता है।,2026-09-14 11:02:23
SCI_HI_0009,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Easy,किस नियम के अनुसार कार्य अनुक्रमणित ऊर्जा के बराबर होता है?,कार्य-ऊर्जा नियम,पावर नियम,कार्य-कार्य नियम,ऊर्जा-ऊर्जा नियम,A,कार्य-ऊर्जा नियम,कार्य-ऊर्जा नियम कहता है कि किसी वस्तु के कार्य उसकी ऊर्जा का अनुक्रमण करता है।,कार्य-ऊर्जा नियम कहता है कि एक वस्तु के कार्य उसकी ऊर्जा के बराबर होता है।,2026-09-14 11:02:23
SCI_HI_0010,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Easy,किस परिस्थिति में गति का नियम लागू नहीं होता?,स्थैतिक वस्तु पर,चालक वस्तु पर,क्रिस्टल वस्तु पर,कोई भी वस्तु पर,A,स्थैतिक वस्तु पर,गति का नियम स्थैतिक वस्तु पर लागू नहीं होता।,गति का नियम वह वस्तु के गति के संबंधित कानून है जो चालक वस्तु पर लागू होता है।,2026-09-14 11:02:23
SCI_HI_0011,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Medium,दिए गए प्रश्न का उत्तर निम्न में से कौन-सा है: यदि दो वस्तुएँ एक ही दिशा में गति कर रही हैं तो उनकी गति को किस नियम से व्यक्त किया जाता है?,गति का नियम,बल का नियम,ऊर्जा का नियम,कार्य का नियम,A,गति का नियम,गति का नियम गति की दिशा और गति की दर को व्यक्त करता है।,"गति का नियम वस्तुओं की गति की दिशा और गति की दर को व्यक्त करता है, जिसमें दो वस्तुएँ एक ही दिशा में गति कर रही हैं।",2026-09-14 14:54:08
SCI_HI_0012,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Medium,दिए गए प्रश्न का उत्तर निम्न में से कौन-सा है: यदि एक वस्तु को चालक की सहायता से विस्थापित किया जाता है तो यह वस्तु के लिए किस नियम का उपयोग किया जाएगा?,बल का नियम,कार्य का नियम,ऊर्जा का नियम,गति का नियम,B,कार्य का नियम,कार्य का नियम चालक की सहायता से किसी वस्तु को विस्थापित किये जाने पर उसकी ऊर्जा को व्यक्त करता है।,कार्य का नियम वस्तुओं की गति और उनकी चालक की सहायता को जोड़कर उनकी ऊर्जा को व्यक्त करता है।,2026-09-14 14:54:08
SCI_HI_0013,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Medium,दिए गए प्रश्न का उत्तर निम्न में से कौन-सा है: जब दो बल परस्पर लगते हैं तो उनका योग किस नियम का उपयोग करके ज्ञात किया जाता है?,गति का नियम,बल का नियम,ऊर्जा का नियम,कार्य का नियम,B,बल का नियम,बल का नियम दो बलों के योग को व्यक्त करता है।,बल का नियम दो बलों के योग को व्यक्त करता है जो एक ही दिशा में लगते हैं।,2026-09-14 14:54:08
SCI_HI_0014,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Medium,दिए गए प्रश्न का उत्तर निम्न में से कौन-सा है: किस नियम का उपयोग करके एक वस्तु का चालक को व्यक्त किया जा सकता है?,गति का नियम,बल का नियम,ऊर्जा का नियम,कार्य का नियम,A,गति का नियम,गति का नियम वस्तु की गति की दिशा और गति की दर को व्यक्त करता है।,गति का नियम वस्तु की गति की दिशा और गति की दर को व्यक्त करता है जो वस्तु का चालक को दर्शाता है।,2026-09-14 14:54:08
SCI_HI_0015,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Medium,दिए गए प्रश्न का उत्तर निम्न में से कौन-सा है: यदि एक वस्तु विस्थापित कर रही है तो वस्तु का चालक किस नियम का उपयोग करके व्यक्त किया जाता है?,गति का नियम,बल का नियम,ऊर्जा का नियम,कार्य का नियम,D,कार्य का नियम,कार्य का नियम वस्तु का चालक को व्यक्त करता है जो विस्थापन करता है।,कार्य का नियम वस्तु का चालक को व्यक्त करता है जो विस्थापन करता है जिसमें वस्तु का विस्थापन होता है।,2026-09-14 14:54:08
SCI_HI_0016,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Medium,दिए गए प्रश्न का उत्तर निम्न में से कौन-सा है: यदि दो वस्तुएँ एक ही दिशा में गति कर रही हैं तो उनके गति की दर को किस नियम से व्यक्त किया जाता है?,गति का नियम,बल का नियम,ऊर्जा का नियम,कार्य का नियम,A,गति का नियम,गति का नियम वस्तु की गति की दर को व्यक्त करता है।,गति का नियम वस्तु की गति की दर को व्यक्त करता है जो वस्तु की गति की दर को दर्शाता है।,2026-09-14 14:54:08
SCI_HI_0017,Hindi,Science,"यांत्रिकी, बल, कार्य, ऊर्जा एवं गति के नियम",Medium,दिए गए प्रश्न का उत्तर निम्न में से कौन-सा है: यदि एक वस्तु विस्थापित कर रही है तो उसका चालक किस नियम का उपयोग करके व्यक्त किया जाता है?,गति का नियम,बल का नियम,ऊर्जा का नियम,कार्य का नियम,D,कार्य का नियम,कार्य का नियम वस्तु का चालक को व्यक्त करता है जो विस्थापन करता है।,कार्य का नियम वस्तु का चालक को व्यक्त करता है जो विस्थापन करता है जिसमें वस्तु का विस्थापन होता है।,2026-09-14 14:54:08
SCI_HI_0018,Hindi,Science,"ऊष्मा, तापमान एवं ऊष्मागतिकी के सिद्धांत",Medium,दिए गए दो वस्तुओं की ऊष्मा व्याप्ति को निर्धारित करने के लिए आरोही अनुक्रम का उपयोग किस प्रकार की ऊष्मागतिकी गतिविधि का उपयोग किया जाता है?,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,D,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी गतिविधि के माध्यम से दो वस्तुओं की ऊष्मा व्याप्ति निर्धारित करने का तरीका आरोही अनुक्रम का उपयोग करती है।,द्रव ऊष्मागतिकी गतिविधि में दो वस्तुओं को एक साथ रखा जाता है जिनकी तापमान आरोही अनुक्रम में होती है। यह तरीका तापमान की व्याप्ति निर्धारित करने में मदद करता है।,2026-09-14 14:55:24
SCI_HI_0019,Hindi,Science,"ऊष्मा, तापमान एवं ऊष्मागतिकी के सिद्धांत",Medium,दिए गए वस्तु की ऊष्मा व्याप्ति ज्ञात करने के लिए आरोही अनुक्रम का उपयोग किस प्रकार की ऊष्मागतिकी गतिविधि का उपयोग किया जाता है?,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,D,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी गतिविधि के माध्यम से वस्तु की ऊष्मा व्याप्ति निर्धारित करने का तरीका आरोही अनुक्रम का उपयोग करती है।,द्रव ऊष्मागतिकी गतिविधि में वस्तु को एक साथ रखा जाता है जिसकी तापमान आरोही अनुक्रम में होती है। यह तरीका तापमान की व्याप्ति निर्धारित करने में मदद करता है।,2026-09-14 14:55:24
SCI_HI_0020,Hindi,Science,"ऊष्मा, तापमान एवं ऊष्मागतिकी के सिद्धांत",Medium,दिए गए दो वस्तुओं की तापमान व्याप्ति को निर्धारित करने के लिए आरोही अनुक्रम का उपयोग किस प्रकार की ऊष्मागतिकी गतिविधि का उपयोग किया जाता है?,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी,D,द्रव ऊष्मागतिकी,द्रव ऊष्मागतिकी गतिविधि के माध्यम से दो वस्तुओं की तापमान व्याप्ति निर्धारित करने का तरीका आरोही अनुक्रम का उपयोग करती है।,द्रव ऊष्मागतिकी गतिविधि में दो वस्तुओं को एक साथ रखा जाता है जिनकी तापमान आरोही अनुक्रम में होती है। यह तरीका तापमान की व्याप्ति निर्धारित करने में मदद करता है।,2026-09-14 14:55:24
SCI_HI_0021,Hindi,Science,"प्रकाशिकी, परावर्तन, अपवर्तन एवं प्रकाश के गुण",Hard,प्रकाश की बैक्सर व्यवस्था का वर्णन किस प्रकार के परावर्तन है जिसमें एक उन्नत परावर्तक वस्तु का उपयोग किया जाता है जो प्रकाश को दो बार वर्तमान दीर्घकालिक लाइट है बनाने में मदद करता है?,एक विस्तारित रेडियेशनल परावर्तन व्यवस्था,एक उन्नत परावर्तन व्यवस्था,एक बैक्सर व्यवस्था,एक सरल वर्तमान दीर्घकालिक लाइट परावर्तन व्यवस्था,C,एक बैक्सर व्यवस्था,बैक्सर व्यवस्था में दो बार परावर्तन होता है जिसमें परावर्तक वस्तु प्रकाश को दो बार वर्तमान दीर्घकालिक लाइट में परावर्तित करती है।,बैक्सर व्यवस्था में दो बार परावर्तन होता है जिससे उन्नत परावर्तन दर प्राप्त होती है। यह व्यवस्था एक उन्नत परावर्तन व्यवस्था की तुलना में अधिक दीर्घकालिक लाइट उत्पन्न करती है।,2026-09-14 14:56:44
SCI_HI_0022,Hindi,Science,"प्रकाशिकी, परावर्तन, अपवर्तन एवं प्रकाश के गुण",Hard,प्रकाश और एक बहुत विस्तारित वस्तु के बीच परावर्तन उच्च होने की अनुमान क्यों होती है जब वस्तु का अवकाश बहुत छोटा है?,क्योंकि उच्च अवकाश की वस्तु में प्रकाश के आकार का परावर्तन अधिक दिखने में अच्छा होता है,क्योंकि बहुत विस्तारित वस्तु को अवकाश की दर से परावर्तन अधिक होता है,क्योंकि बहुत विस्तारित वस्तु की तुलना में उच्च अवकाश की वस्तु में प्रकाश की धारिता कम होती है,क्योंकि बहुत विस्तारित वस्तु की तुलना में उच्च अवकाश की वस्तु में प्रकाश का अवकाश बहुत तेज होता है,D,क्योंकि बहुत विस्तारित वस्तु की तुलना में उच्च अवकाश की वस्तु में प्रकाश का अवकाश बहुत तेज होता है,विस्तारित वस्तुओं में प्रकाश का अवकाश तेज होता है जिससे परावर्तन कम होता है।,बहुत विस्तारित वस्तुओं में प्रकाश का अवकाश तेज होता है जिससे परावर्तन कम होता है। उच्च अवकाश की वस्तुओं में प्रकाश का अवकाश कम होता है जिससे परावर्तन अधिक होता है।,2026-09-14 14:56:44
SCI_HI_0023,Hindi,Science,"प्रकाशिकी, परावर्तन, अपवर्तन एवं प्रकाश के गुण",Hard,प्रकाश के रंग सूचकांक क्या है जब प्रकाश को एक निशाने द्वारा अपवर्तित किया जाता है जो निशाने के अवकाश वाला है?,कम रंग सूचकांक,समान रंग सूचकांक,अधिक रंग सूचकांक,निशाने के अवकाश पर निर्भर करता है,A,कम रंग सूचकांक,अपवर्तित प्रकाश के रंग सूचकांक कम होता है जब प्रकाश को निशाने द्वारा अपवर्तित किया जाता है जो निशाने के अवकाश वाला है।,अपवर्तित प्रकाश के रंग सूचकांक कम होता है जब प्रकाश को निशाने द्वारा अपवर्तित किया जाता है जो निशाने के अवकाश वाला है। यह क्योंकि निशाने के अवकाश वाले अधिक प्रकाश को अपवर्तित करते हैं जिससे प्रकाश का रंग कम हो जाता है।,2026-09-14 14:56:44
SCI_HI_0024,Hindi,Science,"प्रकाशिकी, परावर्तन, अपवर्तन एवं प्रकाश के गुण",Hard,प्रकाश के अपवर्तन गुण क्या है जब प्रकाश को द्रव वस्तुओं से अपवर्तित किया जाता है?,कम अपवर्तन गुण,अपवर्तन गुण निशाने वाले निर्भर करता है,अधिक अपवर्तन गुण,निशाने के अवकाश पर निर्भर करता है,B,अपवर्तन गुण निशाने वाले निर्भर करता है,अपवर्तन गुण प्रकाश के अपवर्तन की प्रतिरोधिता को दर्शाता है जो निशाने के अवकाश वाले निर्भर करता है।,अपवर्तन गुण प्रकाश के अपवर्तन की प्रतिरोधिता को दर्शाता है जो निशाने के अवकाश वाले निर्भर करता है। द्रव वस्तुओं में निशाने के अवकाश वाले अधिक प्रकाश को अपवर्तित करते हैं जिससे अपवर्तन गुण निशाने वाले निर्भर करता है।,2026-09-14 14:56:44
SCI_HI_0025,Hindi,Science,"प्रकाशिकी, परावर्तन, अपवर्तन एवं प्रकाश के गुण",Hard,प्रकाश का अपवर्तन गुण क्या है जब प्रकाश को एक डिस्क के किनारे से अपवर्तित किया जाता है जो रेखीय अवकाश वाला है?,अधिक अपवर्तन गुण,कम अपवर्तन गुण,अपवर्तन गुण निशाने वाले निर्भर करता है,निशाने के अवकाश पर निर्भर करता है,A,अधिक अपवर्तन गुण,प्रकाश का अपवर्तन गुण रेखीय अवकाश वाले निशानों के किनारों से अपवर्तित प्रकाश के लिए अधिक होता है।,रेखीय अवकाश वाले निशानों के किनारों से अपवर्तित प्रकाश का अपवर्तन गुण अधिक होता है। यह क्योंकि निशानों के किनारे अधिक प्रकाश को अपवर्तित करते हैं जिससे अपवर्तन गुण अधिक होता है।,2026-09-14 14:56:44
SCI_HI_0026,Hindi,Science,"प्रकाशिकी, परावर्तन, अपवर्तन एवं प्रकाश के गुण",Hard,प्रकाश के अपवर्तन गुण क्या है जब प्रकाश को एक निशाने द्वारा अपवर्तित किया जाता है जो निशाने के अवकाश वाला है और रेखीय अवकाश वाला नहीं है?,कम अपवर्तन गुण,अपवर्तन गुण निशाने वाले निर्भर करता है,अधिक अपवर्तन गुण,निशाने के अवकाश पर निर्भर करता है,C,अधिक अपवर्तन गुण,प्रकाश का अपवर्तन गुण निशाने के अवकाश वाले निर्भर करता है जो निशाने के किनारों से अपवर्तित प्रकाश के लिए अधिक होता है।,प्रकाश का अपवर्तन गुण निशाने के अवकाश वाले निर्भर करता है जो निशाने के किनारों से अपवर्तित प्रकाश के लिए अधिक होता है। यह क्योंकि निशाने के किनारे अधिक प्रकाश को अपवर्तित करते हैं जिससे अपवर्तन गुण अधिक होता है।,2026-09-14 14:56:44
SCI_HI_0027,Hindi,Science,"प्रकाशिकी, परावर्तन, अपवर्तन एवं प्रकाश के गुण",Hard,प्रकाश का अपवर्तन गुण क्या है जब प्रकाश को एक निशाने द्वारा अपवर्तित किया जाता है जो निशाने के अवकाश वाला है और रेखीय अवकाश वाला नहीं है?,कम अपवर्तन गुण,अपवर्तन गुण निशाने वाले निर्भर करता है,अधिक अपवर्तन गुण,निशाने के अवकाश पर निर्भर करता है,C,अधिक अपवर्तन गुण,प्रकाश का अपवर्तन गुण निशाने के अवकाश वाले निर्भर करता है जो निशाने के किनारों से अपवर्तित प्रकाश के लिए अधिक होता है।,प्रकाश का अपवर्तन गुण निशाने के अवकाश वाले निर्भर करता है जो निशाने के किनारों से अपवर्तित प्रकाश के लिए अधिक होता है। यह क्योंकि निशाने के किनारे अधिक प्रकाश को अपवर्तित करते हैं जिससे अपवर्तन गुण अधिक होता है।,2026-09-14 14:56:44
SCI_HI_0028,Hindi,Science,"ध्वनि, तरंगें एवं कंपन",Medium,ध्वनि की तरंग दैर्ध्य किस स्तर की तरंगों के बीच स्थित है?,विकल्प A: वायु तरंगों में,विकल्प B: वाटरलॉग तरंगों में,विकल्प C: इलेक्ट्रॉमैग्नेटिक तरंगों में,विकल्प D: अक्सर वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों के बीच,D,विकल्प D: अक्सर वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों के बीच,ध्वनि तरंगों की दैर्ध्य अक्सर वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों के बीच स्थित हैं।,"ध्वनि तरंगों की दैर्ध्य अक्सर 20 हर्ट्ज से 20 कीलोहर्ट्ज के बीच होती है, जो वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों के बीच स्थित है।",2026-09-14 14:57:48
SCI_HI_0029,Hindi,Science,"ध्वनि, तरंगें एवं कंपन",Medium,ध्वनि के रेखीय कंपन किस प्रकार की तरंगों से जुड़े हैं?,विकल्प A: वाटरलॉग तरंगों से,विकल्प B: इलेक्ट्रॉमैग्नेटिक तरंगों से,विकल्प C: वायु तरंगों से,विकल्प D: वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों से,C,विकल्प C: वायु तरंगों से,रेखीय कंपन वायु तरंगों से संबंधित है।,"ध्वनि के रेखीय कंपन वायु तरंगों से संबंधित हैं, जिनकी दैर्ध्य ध्वनि तरंगों की दैर्ध्य के अनुसार होती है।",2026-09-14 14:57:48
SCI_HI_0030,Hindi,Science,"ध्वनि, तरंगें एवं कंपन",Medium,ध्वनि के अवकाश कंपन किस प्रकार की तरंगों से जुड़े हैं?,विकल्प A: वाटरलॉग तरंगों से,विकल्प B: इलेक्ट्रॉमैग्नेटिक तरंगों से,विकल्प C: वायु तरंगों से,विकल्प D: वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों से,A,विकल्प A: वाटरलॉग तरंगों से,अवकाश कंपन वाटरलॉग तरंगों से संबंधित है।,"ध्वनि के अवकाश कंपन वाटरलॉग तरंगों से संबंधित हैं, जिनकी दैर्ध्य ध्वनि तरंगों की दैर्ध्य के अनुसार होती है।",2026-09-14 14:57:48
SCI_HI_0031,Hindi,Science,"ध्वनि, तरंगें एवं कंपन",Medium,किस प्रकार की तरंगें ध्वनि के रेखीय कंपन में शामिल होती हैं?,विकल्प A: वाटरलॉग तरंगों से,विकल्प B: इलेक्ट्रॉमैग्नेटिक तरंगों से,विकल्प C: वायु तरंगों से,विकल्प D: वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों से,C,विकल्प C: वायु तरंगों से,रेखीय कंपन वायु तरंगों से संबंधित है।,"ध्वनि के रेखीय कंपन वायु तरंगों से संबंधित हैं, जिनकी दैर्ध्य ध्वनि तरंगों की दैर्ध्य के अनुसार होती है।",2026-09-14 14:57:48
SCI_HI_0032,Hindi,Science,"ध्वनि, तरंगें एवं कंपन",Medium,किस प्रकार की तरंगें ध्वनि के अवकाश कंपन में शामिल होती हैं?,विकल्प A: वाटरलॉग तरंगों से,विकल्प B: इलेक्ट्रॉमैग्नेटिक तरंगों से,विकल्प C: वायु तरंगों से,विकल्प D: वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों से,B,विकल्प B: इलेक्ट्रॉमैग्नेटिक तरंगों से,अवकाश कंपन इलेक्ट्रॉमैग्नेटिक तरंगों से संबंधित है।,"ध्वनि के अवकाश कंपन इलेक्ट्रॉमैग्नेटिक तरंगों से संबंधित हैं, जिनकी दैर्ध्य ध्वनि तरंगों की दैर्ध्य के अनुसार होती है।",2026-09-14 14:57:48
SCI_HI_0033,Hindi,Science,"ध्वनि, तरंगें एवं कंपन",Medium,रेखीय कंपन तथा अवकाश कंपन किस प्रकार की तरंगों से जुड़े हैं?,विकल्प A: वाटरलॉग तरंगों से,विकल्प B: इलेक्ट्रॉमैग्नेटिक तरंगों से,विकल्प C: वायु तरंगों से,विकल्प D: वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों से,D,विकल्प D: वाटरलॉग तरंगों और इलेक्ट्रॉमैग्नेटिक तरंगों से,रेखीय कंपन वायु तरंगों और अवकाश कंपन इलेक्ट्रॉमैग्नेटिक तरंगों से संबंधित है।,"रेखीय कंपन वायु तरंगों और अवकाश कंपन इलेक्ट्रॉमैग्नेटिक तरंगों से संबंधित हैं, जिनकी दैर्ध्य ध्वनि तरंगों की दैर्ध्य के अनुसार होती है।",2026-09-14 14:57:48
SCI_HI_0034,Hindi,Science,"विद्युत धारा, विभव, प्रतिरोध एवं चुंबकत्व",Medium,विद्युत धारा किसी विद्युत वाहन में किस प्रकार के इलेक्ट्रोनों का गतिशीलता है?,विद्युत वाहन में उत्पन्न इलेक्ट्रोनों,विद्युत वाहन में उत्पन्न प्लास्ट्रोनों,विद्युत वाहन में उपस्थित इलेक्ट्रोनों,विद्युत वाहन में उपस्थित प्लास्ट्रोनों,C,विद्युत वाहन में उपस्थित इलेक्ट्रोनों,इलेक्ट्रोनों का गतिशीलता विद्युत धारा की अपेक्षा इसे बेहतर समझने में मदद करता है।,विद्युत धारा इलेक्ट्रोनों का गतिशीलता से होती है जो विद्युत वाहन में उपस्थित होते हैं।,2026-09-14 14:58:31
SCI_HI_0035,Hindi,Science,"विद्युत धारा, विभव, प्रतिरोध एवं चुंबकत्व",Medium,किसका वैश्विक प्रतिरोध विद्युत धारा को रोक देता है?,विद्युत धारा का विभव,विद्युत धारा का प्रवाह,विद्युत धारा का प्रतिरोध,विद्युत धारा का चुंबकत्व,C,विद्युत धारा का प्रतिरोध,प्रतिरोध विद्युत धारा को रोकता है और इसके प्रवाह को सीमित करता है।,प्रतिरोध विद्युत धारा को रोकता है और इसकी गति को सीमित करता है।,2026-09-14 14:58:32
SCI_HI_0036,Hindi,Science,"विद्युत धारा, विभव, प्रतिरोध एवं चुंबकत्व",Medium,चुंबकत्व किस प्रकार की तरंग को गенरेट करता है?,प्रकाश तरंग,कोशिकीय तरंग,माइग्नेटो तरंग,विद्युत तरंग,C,माइग्नेटो तरंग,चुंबकत्व विद्युत धारा के फायदे से उत्पन्न तरंगों को बताता है।,चुंबकत्व विद्युत धारा के फायदे से उत्पन्न चुंबकीय तरंगों को गनरेट करता है।,2026-09-14 14:58:32
SCI_HI_0037,Hindi,Science,"विद्युत धारा, विभव, प्रतिरोध एवं चुंबकत्व",Medium,विद्युत धारा किस प्रकार के विभव को तनाव में डालती है?,विद्युत विभव,कोशिकीय विभव,कार्यक्षमता विभव,माइग्नेटो विभव,A,विद्युत विभव,विद्युत धारा विद्युत विभव को विकसित करती है जो तनाव को तनाव में डालता है।,विद्युत धारा विद्युत विभव को तनाव में डालती है जो तनाव को बढ़ावा देता है।,2026-09-14 14:58:32
SCI_HI_0038,Hindi,Science,"विद्युत धारा, विभव, प्रतिरोध एवं चुंबकत्व",Medium,विद्युत विभव किस प्रकार का विभव है?,विद्युत विभव,कोशिकीय विभव,कार्यक्षमता विभव,माइग्नेटो विभव,A,विद्युत विभव,विद्युत विभव विद्युत क्षेत्र का विभव है।,विद्युत विभव विद्युत क्षेत्र की तनाव से संबंधित होता है और इससे विद्युत धारा का विकास होता है।,2026-09-14 14:58:32
