id,language,category,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,meaning,explanation,created_at
MATH_HI_0001,Hindi,Mathematics,Mathematics Sample,Medium,"यदि एक वृत्त की त्रिज्या 7 सेमी है, तो इसका क्षेत्रफल क्या होगा? (π = 22/7)",154 सेमी²,44 सेमी²,88 सेमी²,308 सेमी²,A,154 सेमी²,वृत्त का क्षेत्रफल त्रिज्या के वर्ग और पाई के गुणनफल (πr²) के बराबर होता है।,क्षेत्रफल = πr² = (22/7) * 7 * 7 = 154 वर्ग सेमी।,2026-09-14 08:47:50
MATH_HI_0002,Hindi,Mathematics,Mathematics Sample,Medium,संख्या 25 का वर्गमूल क्या है?,5,4,6,10,A,5,वर्गमूल वह संख्या है जिसे स्वयं से गुणा करने पर मूल संख्या प्राप्त होती है (5 × 5 = 25)।,5 * 5 = 25 होता है।,2026-09-14 08:47:50
MATH_HI_0003,Hindi,Mathematics,Mathematics Sample,Medium,एक वस्तु को ₹500 में खरीदकर ₹600 में बेचा गया। लाभ प्रतिशत ज्ञात करें:,20%,10%,25%,15%,A,20%,"क्रय मूल्य पर ₹100 का लाभ हुआ, जो 500 का 20वां हिस्सा (20%) है।",लाभ = 100 रुपये। लाभ% = (100 / 500) * 100 = 20%।,2026-09-14 08:47:50
MATH_HI_0004,Hindi,Mathematics,Mathematics Sample,Medium,प्रथम 5 प्राकृत संख्याओं का औसत क्या होगा?,3,2.5,4,3.5,A,3,औसत कुल योग (15) को संख्याओं की संख्या (5) से भाग देकर निकाला जाता है।,(1 + 2 + 3 + 4 + 5) / 5 = 15 / 5 = 3।,2026-09-14 08:47:50
MATH_HI_0005,Hindi,Mathematics,Mathematics Sample,Medium,"यदि 2x + 6 = 18 है, तो x का मान क्या होगा?",6,5,7,4,A,6,"पक्षांतरण करने पर 2x = 12 आता है, जिसे 2 से भाग देने पर x = 6 प्राप्त होता है।","2x = 18 - 6 = 12, इसलिए x = 6।",2026-09-14 08:47:50
MATH_HI_0006,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,54 को जो सबसे बड़ी अभाज्य संख्या से विभाजित करेंगे?,2,3,5,7,B,3,3 सबसे बड़ी अभाज्य संख्या है जिससे 54 विभाजित हो जाएगा।,"54 द्वारा 2, 3 और 7 से विभाजित हो जाता है, लेकिन 3 सबसे बड़ा अभाज्य संख्या है।",2026-09-14 11:02:47
MATH_HI_0007,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,निम्नलिखित में से कौन सी संख्या 11 से विभाज्य है?,23,33,41,51,B,33,11 से विभाज्य संख्या का योग दो अंकों के स्थानीय मानों के बीच एक विषम संख्या बनाती है।,"33 के अंकों का योग 3 + 3 = 6 है, जो एक विषम संख्या नहीं है, लेकिन यह भी 11 से विभाजित है।",2026-09-14 11:02:47
MATH_HI_0008,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,8765 की विभाज्यता द्वारा 9 से परीक्षण करें?,8 + 7 + 6 + 5 = 26 इसका योग 9 से विभाज्य नहीं है।,8 + 7 + 6 + 5 = 26 इसका योग 9 से विभाज्य नहीं है।,8 + 7 + 6 + 5 = 26 इसका योग 9 से विभाज्य नहीं है।,8 + 7 + 6 + 5 = 26 इसका योग 9 से विभाज्य नहीं है।,B,8 + 7 + 6 + 5 = 26 इसका योग 9 से विभाज्य नहीं है।,9 से विभाज्यता परीक्षण में अंकों का योग निर्णय करता है।,"8765 के अंकों का योग 26 है, जो 9 से विभाज्य नहीं है।",2026-09-14 11:02:47
MATH_HI_0009,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,निम्नलिखित में से कौन सी संख्या परिमेय संख्या नहीं है?,1/2,0.75,1.23456789123456789,√2,D,√2,परिमेय संख्याएँ वह संख्याएँ होती हैं जो दशमलव या अनंत दशमलव रूप में प्रदर्शित की जा सकती हैं।,√2 एक अपरिमेय संख्या है जो दशमलव रूप में अनंत और अनुचित दशमलव है।,2026-09-14 11:02:47
MATH_HI_0010,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,5678 की विभाज्यता द्वारा 2 से परीक्षण करें?,5678 एक बिन्दु नहीं बाई और इसलिए विभाज्य नहीं है।,5678 एक बिन्दु नहीं बाई और इसलिए विभाज्य नहीं है।,5678 एक बिन्दु नहीं बाई और इसलिए विभाज्य नहीं है।,5678 का अंतिम अंक 8 है जो सम है इसलिए विभाज्य है।,D,5678 का अंतिम अंक 8 है जो सम है इसलिए विभाज्य है।,2 से विभाजित होने की परीक्षा में अंतिम अंक की जानकारी लेनी होती है।,"5678 का अंतिम अंक 8 है, जो सम है इसलिए यह 2 से विभाजित हो जाता है।",2026-09-14 11:02:47
MATH_HI_0011,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,2468 किस अभाज्य संख्या से विभाजित होगा?,3,5,7,11,C,7,7 की विभाज्यता परीक्षण करने का नियम है।,2468 और 7 का भाग करने पर शेष भाग 0 आएगा।,2026-09-14 16:33:04
MATH_HI_0012,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,निम्नलिखित में से कौन सी संख्या अभाज्य संख्या नहीं है?,11,13,15,17,C,15,15 की अभाज्यता की जाँच करें।,"15, 3 और 5 से विभाजित होता है।",2026-09-14 16:33:04
MATH_HI_0013,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,1024 किस घात की रूपांतरण में लिखा जा सकता है?,2 की 9 वां घात,3 की 9 वां घात,2 की 10 वां घात,3 की 10 वां घात,A,2 की 9 वां घात,1024 को घात के रूप में लिखें।,1024 = 2 × 2 × 2 × 2 × 2 × 2 × 2 × 2 = 2^9,2026-09-14 16:33:04
MATH_HI_0014,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,5679 किस अंकों के योग से विभाज्यता निर्धारित करें?,संख्या के अंकों का योग,संख्या के अंकों का अंतर,संख्या के अंकों के अंतर का योग,संख्या के अंकों के अंतर का अंतर,A,संख्या के अंकों का योग,9 की विभाज्यता परीक्षण करने का नियम है।,"5 + 6 + 7 + 9 = 27 और 27, 9 से विभाजित है।",2026-09-14 16:33:04
MATH_HI_0015,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,निम्नलिखित में से कौन सी संख्या विषम संख्या नहीं है?,37,45,79,81,D,81,विषम संख्याएँ क्या होती हैं?,"81, 2 से विभाजित है इसलिए विषम संख्या नहीं है।",2026-09-14 16:33:04
MATH_HI_0016,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,2143 किस अंकों के योग से विभाज्यता निर्धारित करें?,संख्या के अंकों का योग,संख्या के अंकों का अंतर,संख्या के अंकों के अंतर का योग,संख्या के अंकों के अंतर का अंतर,A,संख्या के अंकों का योग,3 की विभाज्यता परीक्षण करने का नियम है।,"2 + 1 + 4 + 3 = 10 और 10, 3 से विभाजित नहीं है।",2026-09-14 16:33:04
MATH_HI_0017,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,निम्नलिखित में से कौन सी संख्या अभाज्य संख्या है?,49,53,57,59,B,53,अभाज्य संख्याएँ क्या होती हैं?,"53, 2, 3, 5 या 7 से विभाजित नहीं है।",2026-09-14 16:33:04
MATH_HI_0018,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,6300 किस अंकों के योग से विभाज्यता निर्धारित करें?,संख्या के अंकों का योग,संख्या के अंकों का अंतर,संख्या के अंकों के अंतर का योग,संख्या के अंकों के अंतर का अंतर,A,संख्या के अंकों का योग,9 की विभाज्यता परीक्षण करने का नियम है।,"6 + 3 + 0 + 0 = 9 और 9, 9 से विभाजित है।",2026-09-14 16:33:04
MATH_HI_0019,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,निम्नलिखित में से कौन सी संख्या दशमलव भिन्न नहीं है?,0.5,1/2,2/3,1/7,A,0.5,दशमलव भिन्न क्या हैं?,"0.5, 1/2 के रूप में लिखा जा सकता है।",2026-09-14 16:33:04
MATH_HI_0020,Hindi,Mathematics,"संख्या पद्धति, अभाज्य संख्याएं, विभाज्यता एवं भिन्न",Easy,3648 किस अंकों के योग से विभाज्यता निर्धारित करें?,संख्या के अंकों का योग,संख्या के अंकों का अंतर,संख्या के अंकों के अंतर का योग,संख्या के अंकों के अंतर का अंतर,A,संख्या के अंकों का योग,3 की विभाज्यता परीक्षण करने का नियम है।,"3 + 6 + 4 + 8 = 21 और 21, 3 से विभाजित है।",2026-09-14 16:33:04
MATH_HI_0021,Hindi,Mathematics,महत्तम समापवर्तक (HCF) एवं लघुत्तम समापवर्त्य (LCM),Medium,12 तथा 18 का महत्तम समापवर्तक (HCF) कितना है?,2,3,6,9,C,6,6 दोनों संख्याओं का बड़ा से बड़ा योग्य विभाजक है।,12 तथा 18 के गुणनखंडों में से सराहने वाले सबसे बड़ी संख्या 6 है।,2026-09-14 16:33:34
MATH_HI_0022,Hindi,Mathematics,महत्तम समापवर्तक (HCF) एवं लघुत्तम समापवर्त्य (LCM),Medium,36 तथा 48 का लघुत्तम समापवर्त्य (LCM) कितना है?,144,120,96,108,A,144,144 दोनों संख्याओं का छोटा से छोटा योग्य योग है।,36 तथा 48 के गुणनखंडों के उत्पाद का छोटा से छोटा योग 144 है।,2026-09-14 16:33:34
MATH_HI_0023,Hindi,Mathematics,महत्तम समापवर्तक (HCF) एवं लघुत्तम समापवर्त्य (LCM),Medium,24 तथा 36 का महत्तम समापवर्तक (HCF) तथा लघुत्तम समापवर्त्य (LCM) का योग कितना है?,60,66,72,78,B,66,योग्य विभाजक तथा छोटा से छोटा योग का योग निर्धारित किया गया है।,24 तथा 36 का HCF 12 तथा LCM 72 है तथा उनका योग 66 है।,2026-09-14 16:33:34
MATH_HI_0024,Hindi,Mathematics,महत्तम समापवर्तक (HCF) एवं लघुत्तम समापवर्त्य (LCM),Medium,54 तथा 72 का महत्तम समापवर्तक (HCF) कितना है?,6,8,9,12,C,9,9 दोनों संख्याओं का बड़ा से बड़ा योग्य विभाजक है।,54 तथा 72 के गुणनखंडों में से सराहने वाले सबसे बड़ी संख्या 9 है।,2026-09-14 16:33:34
MATH_HI_0025,Hindi,Mathematics,महत्तम समापवर्तक (HCF) एवं लघुत्तम समापवर्त्य (LCM),Medium,18 तथा 24 का लघुत्तम समापवर्त्य (LCM) कितना है?,36,48,72,96,C,72,72 दोनों संख्याओं का छोटा से छोटा योग्य योग है।,18 तथा 24 के गुणनखंडों के उत्पाद का छोटा से छोटा योग 72 है।,2026-09-14 16:33:34
